qúəźoʔɑ́enqəʔ,ˈɢuɤʑɔʔˌɑe̯nɢɤʔ,,,ukêzeânqôt,ˈʔuk̚kɘːzɐʔˌaːnɢɘːd̚
qúqqɑ́eår̥,ˈɢuɢˌɢɑe̯ʌr̥,,,uqâox,ˈʔuq̚ˌqaːɐx
qúqqəźǻr̥âń,ˈɢuɢɢɤˌʑʌr̥aɲ̊,,,uqêzoxkan,ˈʔuq̚qɘːˌzɔxkæn̥
qúəźoʔɑ́enqəʔ,ˈɢuɤʑɔʔˌɑe̯nɢɤʔ,,,ukêzeânqôt,ˈʔuk̚kɘːzɐʔˌaːnɢɘːd̚
súńcambonqúəx,ˈsuɲ̊cæmbɔnˌɢuɤx,,,sunamânqôtkish,ˈsun̥n̥æmmɑːnˌɢuːd̚giç
pònhonqúońoñah,ˈpɔn̥ħɔn̥ˌɢuo̯ɲɔɴæħ,,,ponhenqôtñah,ˈpɔn̥ħɐn̥ˌquːd̚ŋæħ
ľíeńyńcoǻr̥fə,ˈʎie̯ɲyɲ̊cɔˌʌr̥fɤ,,,lîuntâoxfê,ˈlĩːun̥tɑːˌɔxfɘː
erríix,ɛrˈriix,,,rêtkish,ˈriːd̚giç
xèkaʔ,ˈxɛkæʔ,,,shechaq,ˈçɛt̚t͡ʃæq̚
erríegøu,ɛrˈrie̯gøʊ̯,,,rêtchôl,ˈriːd̚d͡ʒɘːl
r̥è,ˈr̥ɛ,,,pre,ˈpr̥ɛ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
qò,ˈɢɔ,,,qo,ˈqɔ
ñár̥r̥óarrår̥,ˈɴar̥ˌr̥oɐ̯rrʌr̥,,,ñaxugox,ˈŋæxˌxuːɣɣɐx
erríeʔ,ɛrˈrie̯ʔ,,,rêt,ˈriːd̚
súńcàmpoń,ˈsuɲ̊ˌcæm̥pɔɲ,,,sunamân,ˈsun̥ˌn̥æm̥m̥ɑːn
qúəźoʔɑ́eñou,ˈɢuɤʑɔʔˌɑe̯ɴou̯,,,ukêzeânchôl,ˈʔuk̚kɘːzɐʔˌaːnd͡ʒɘːl
erríeʔ,ɛrˈrie̯ʔ,,,rêt,ˈriːd̚
pývohǻr̥fə,ˈpyʋɔˌħʌr̥fɤ,,,pivâhoxfê,ˈpiːvvɑːˌħɔxfɘː
r̥èe,ˈr̥ɛɛ,,,preke,ˈpr̥ɛk̚kɐ
qúəźèʔoń,ˈɢuɤˌʑɛʔɔɲ,,,ukêzeân,ˈʔuk̚kɘːˌzɛʔɑːn
vàccaaśśǻr̥fə,ˈʋæccææɕˌɕʌr̥fɤ,,,vatakasoxfê,ˈvæt̚tæk̚kæsˌsɔxfɘː
qúqqɑ́emu,ˈɢuɢˌɢɑe̯mu,,,uqâîn,ˈʔuq̚ˌqaːĩː
hóu,ˈħou̯,,,hev,ˈħɜːv
mvò,ˈmʋɔ,,,mûh,ˈmwɐ̃
ǽolqèʔni,ˈæo̯lˌɢɛʔni,,,ghôlqeîn,ˈɐʊ̯lˌɢɜʔĩː
fèś,ˈfɛɕ,,,fes,ˈfɛs
r̥è,ˈr̥ɛ,,,pre,ˈpr̥ɛ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
hǻr̥púmu,ˈħʌr̥ˌpumu,,,herpôîn,ˈħɜr̥ˌpuːĩː
fèś,ˈfɛɕ,,,fes,ˈfɛs
qàqqer̥r̥áhhoń,ˈɢæɢɢɛr̥ˌr̥aħħɔɲ,,,qaqixahân,ˈqæq̚qɨxˌxæħħɑːn
źò,ˈʑɔ,,,zo,ˈzɔ
hàqqeʔ,ˈħæɢɢɛʔ,,,haqop,ˈħæq̚qɐp̚
mvò,ˈmʋɔ,,,mûh,ˈmwɐ̃
mènhar̥,ˈmɛn̥ħær̥,,,metfkêx,ˈmɛt̚fkɐx
míʔyperrikèkøu,ˈmiʔypɛrrikˌɛkøʊ̯,,,miûporichechôl,ˈmiʔuːpɐrrit̚ˌt͡ʃɛt̚t͡ʃɘːl
húom,ˈħuo̯m,,,hêm,ˈħɨːm
mvò,ˈmʋɔ,,,mûh,ˈmwɐ̃
qúmpou,ˈɢum̥pou̯,,,umêw,ˈʔum̥m̥ɘːw
qúqqo,ˈɢuɢɢɔ,,,uqâ,ˈʔuq̚qɑː
ǵèhhaccɑ́eñah,ˈɟɛħħæcˌcɑe̯ɴæħ,,,ehatojñah,ˈʔɛħħæt̚ˌtɔʝŋæħ
qúo,ˈɢuɔ,,,qôtke,ˈquːd̚gɐ
qúəźèʔoń,ˈɢuɤˌʑɛʔɔɲ,,,ukêzeân,ˈʔuk̚kɘːˌzɛʔɑːn
ǵǽorypǻr̥fə,ˈɟæo̯ryˌpʌr̥fɤ,,,evrûpoxfê,ˈʔɛːvruːˌpɔxfɘː
qúo,ˈɢuɔ,,,qôtke,ˈquːd̚gɐ
qúəźèʔoń,ˈɢuɤˌʑɛʔɔɲ,,,ukêzeân,ˈʔuk̚kɘːˌzɛʔɑːn
vàccaaśśǻr̥fə,ˈʋæccææɕˌɕʌr̥fɤ,,,vatakasoxfê,ˈvæt̚tæk̚kæsˌsɔxfɘː
ǵír̥per,ˈɟir̥pɛr,,,irpêg,ˈʔir̥pɘːɣ
qúqqɑ́emu,ˈɢuɢˌɢɑe̯mu,,,uqâîn,ˈʔuq̚ˌqaːĩː
hóu,ˈħou̯,,,hev,ˈħɜːv
ǵàr̥r̥omɑ́eʔmu,ˈɟær̥r̥ɔmˌɑe̯ʔmu,,,arâmheîn,ˈʔær̥r̥ɑːmˌɑɛ̯ʔĩː
mvò,ˈmʋɔ,,,mûh,ˈmwɐ̃
erríix,ɛrˈriix,,,rêtkish,ˈriːd̚giç
pònhoñúoľoñah,ˈpɔn̥ħɔɴ̥ˌuo̯ʎɔɴæħ,,,ponhenchôlñah,ˈpɔn̥ħɐn̥ˌt͡ʃuːlŋæħ
hàqqeʔ,ˈħæɢɢɛʔ,,,haqop,ˈħæq̚qɐp̚
mvò,ˈmʋɔ,,,mûh,ˈmwɐ̃
vète,ˈʋɛtɛ,,,verto,ˈvɛʈɐ
årrǻr̥məcàkøu,ʌrˈrʌr̥m̥ɤˌcækøʊ̯,,,gormêtachôl,ˈɣɔr̥m̥ɘːˌtæt̚t͡ʃɘːl
húom,ˈħuo̯m,,,hêm,ˈħɨːm
ǵére,ˈɟerɛ,,,îxegh,ˈʔĩɣɘː
mvò,ˈmʋɔ,,,mûh,ˈmwɐ̃
mvèñix,ˈmʋɛɴix,,,mûhkish,ˈmwɐ̃giç
ǵíźmár̥acex,ˈɟiˌʑmar̥æcɛx,,,îzmaxtoj,ˈʔĩːˌzmæxtɐç
míàe,ˈmiˌæɛ,,,mêake,ˈmiːˌæk̚kɐ
kòʔambońíeńer̥,ˈkɔʔæmbɔˌɲie̯ɲɛr̥,,,choamânêter,ˈt͡ʃɔʔæmmɑːˌniːd̚ɐr̥
qúqqɑ́emu,ˈɢuɢˌɢɑe̯mu,,,uqâîn,ˈʔuq̚ˌqaːĩː
hóu,ˈħou̯,,,hev,ˈħɜːv
mvò,ˈmʋɔ,,,mûh,ˈmwɐ̃
qúttumɑ́eʔmu,ˈɢuttuˌmɑe̯ʔmu,,,utûmheîn,ˈʔut̚tũːˌɑɛ̯ʔĩː
fèś,ˈfɛɕ,,,fes,ˈfɛs
r̥è,ˈr̥ɛ,,,pre,ˈpr̥ɛ
vòr̥år,ˈʋɔr̥ʌr,,,ôxig,ˈwoxiːɣ
càmhèʔni,ˈcæm̥ˌħɛʔni,,,tamheîn,ˈtæm̥ˌħɜʔĩː
fèś,ˈfɛɕ,,,fes,ˈfɛs
qúoʔ,ˈɢuo̯ʔ,,,qôt,ˈquːd̚
ǵéańa,ˈɟeɐ̯ɲæ,,,ahna,ˈʔɛɐ̯næ
vàhhoqǻr̥fə,ˈʋæħħɔˌɢʌr̥fɤ,,,vahâqoxfê,ˈvæħħɑːˌqɔxfɘː
qúəźoʔɑ́enqəʔ,ˈɢuɤʑɔʔˌɑe̯nɢɤʔ,,,ukêzeânqôt,ˈʔuk̚kɘːzɐʔˌaːnɢɘːd̚
kòʔambɑ́eñou,ˈkɔʔæmˌbɑe̯ɴou̯,,,choamânchôl,ˈt͡ʃɔʔæmˌmaːnd͡ʒɘːl
qúəźoʔonqəcíeńer̥,ˈɢuɤʑɔʔɔnɢɤˌcie̯ɲɛr̥,,,ukêzeânqôtêter,ˈʔuk̚kɘːzɐʔɑːnɢɘːˌtiːd̚ɐr̥
årrwɑ́eñ,ʌrˈrɣɑe̯ɴ,,,gjâñ,ˈɣjaːŋ
erríix,ɛrˈriix,,,rêtkish,ˈriːd̚giç
vàhheiàʔoń,ˈʋæħħei̯ˌæʔɔɲ,,,wahîaân,ˈwæħħɨːˌæʔɑːn
erríix,ɛrˈriix,,,rêtkish,ˈriːd̚giç
år̥r̥ǻmpàxkøu,ʌr̥ˈr̥ʌm̥ˌpæxkøʊ̯,,,xompajchôl,ˈxɔm̥ˌpæçt͡ʃɘːl
qúqqɑ́emu,ˈɢuɢˌɢɑe̯mu,,,uqâîn,ˈʔuq̚ˌqaːĩː
hóu,ˈħou̯,,,hev,ˈħɜːv
wú,ˈɣu,,,ju,ˈju
ǽolqèʔni,ˈæo̯lˌɢɛʔni,,,ghôlqeîn,ˈɐʊ̯lˌɢɜʔĩː
fèś,ˈfɛɕ,,,fes,ˈfɛs
r̥è,ˈr̥ɛ,,,pre,ˈpr̥ɛ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
wú,ˈɣu,,,ju,ˈju
qúqqɑ́emu,ˈɢuɢˌɢɑe̯mu,,,uqâîn,ˈʔuq̚ˌqaːĩː
vète,ˈʋɛtɛ,,,verto,ˈvɛʈɐ
màr̥r̥ê,ˈmær̥r̥e,,,mexî,ˈmɛxxiː
úľo,ˈuʎɔ,,,vlo,ˈvlɔ
vète,ˈʋɛtɛ,,,verto,ˈvɛʈɐ
årróǵíʔar̥,ʌrˈroˌɟiʔær̥,,,gûtjiex,ˈɣũːˌdjiʔɐx
úľoʔoń,ˈuʎɔʔɔɲ,,,vloân,ˈvlɔʔɑːn
hóu,ˈħou̯,,,hev,ˈħɜːv
ǽoxxa,ˈæo̯xxæ,,,ghuja,ˈɐʊ̯ççæ
qúqqɑ́emu,ˈɢuɢˌɢɑe̯mu,,,uqâîn,ˈʔuq̚ˌqaːĩː
mènhe,ˈmɛn̥ħɛ,,,metfke,ˈmɛt̚fkɐ
hóu,ˈħou̯,,,hev,ˈħɜːv
qúəźoʔɑ́enqəʔ,ˈɢuɤʑɔʔˌɑe̯nɢɤʔ,,,ukêzeânqôt,ˈʔuk̚kɘːzɐʔˌaːnɢɘːd̚
vàhhoqǻr̥fə,ˈʋæħħɔˌɢʌr̥fɤ,,,vahâqoxfê,ˈvæħħɑːˌqɔxfɘː
húom,ˈħuo̯m,,,hêm,ˈħɨːm
wú,ˈɣu,,,ju,ˈju
ɑ́ulqoʔǻr̥fə,ˈɑʊ̯lɢɔʔˌʌr̥fɤ,,,ghôlqeoxfê,ˈɐʊ̯lɢɐʔˌɔxfɘː
fèś,ˈfɛɕ,,,fes,ˈfɛs
r̥è,ˈr̥ɛ,,,pre,ˈpr̥ɛ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
ǵérâmbǻr̥fə,ˈɟeramˌbʌr̥fɤ,,,îxamoxfê,ˈʔĩɣæmˌmɔxfɘː
erríeʔ,ɛrˈrie̯ʔ,,,rêt,ˈriːd̚
qǽiah,ˈɢæɪ̯æħ,,,âjah,ˈʔaːjæħ
qǽiahhońǵòxkou,ˈɢæɪ̯æħħɔɲˌɟɔxkou̯,,,âjahântojchôl,ˈʔaːjæħħɑːnˌdɔçt͡ʃɘːl
wú,ˈɣu,,,ju,ˈju
ɑ́ulqǻʔår̥,ˈɑʊ̯lˌɢʌʔʌr̥,,,ghôlqeox,ˈɐʊ̯lˌɢɜʔɐx
wèhhem,ˈɣɛħħɛm̥,,,jewom,ˈjɛxxʷɐm̥
vèr̥,ˈʋɛr̥,,,ver,ˈvɛr̥
erríix,ɛrˈriix,,,rêtkish,ˈriːd̚giç
kúińaś,ˈkuɪ̯ɲæɕ,,,chûjas,ˈt͡ʃũːjæs
qúqqɑ́eår̥,ˈɢuɢˌɢɑe̯ʌr̥,,,uqâox,ˈʔuq̚ˌqaːɐx
mènhe,ˈmɛn̥ħɛ,,,metfke,ˈmɛt̚fkɐ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
wú,ˈɣu,,,ju,ˈju
qúśśårréar̥,ˈɢuɕɕʌrˌreær̥,,,ulogêox,ˈʔuɬɬɐɣˌɣiːɐx
mèttørreźaʔǽońeñah,ˈmɛttørrɛʑæʔˌæo̯ɲɛɴæħ,,,metugêzaânñah,ˈmɛt̚tuɣɣɘːzæʔˌaːnŋæħ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
vànhǽońar̥,ˈʋæn̥ˌħæo̯ɲær̥,,,vatvânox,ˈvæt̚ˌfaːnɐx
arràľańiàńcaś,ærˈræʎæɲ̊iˌæɲ̊cæɕ,,,glankîkanal,ˈɣlæn̥kiːˌkæn̥n̥æɬ
vèh,ˈʋɛħ,,,veh,ˈvɛħ
ľàr̥r̥àkøu,ˈʎær̥ˌr̥ækøʊ̯,,,larapchôl,ˈlær̥ˌr̥æp̚t͡ʃɘːl
vèr̥,ˈʋɛr̥,,,ver,ˈvɛr̥
årrɑ́em,ʌrˈrɑe̯m,,,gâm,ˈɣaːm
qúqqo,ˈɢuɢɢɔ,,,uqâ,ˈʔuq̚qɑː
arràľiʔ,ærˈræʎiʔ,,,glip,ˈɣlip̚
årrɑ́em,ʌrˈrɑe̯m,,,gâm,ˈɣaːm
ǵíjmer̥,ˈɟijmɛr̥,,,ishmer,ˈʔiʝmɐr̥
ǵèccyànho,ˈɟɛccyˌæn̥ħɔ,,,etîvatfâ,ˈʔɛt̚tiːˌvæt̚fɑː
tfàśśèccex,ˈtfæɕˌɕɛccɛx,,,tsaletoj,ˈt͡θæɬˌɬɛt̚tɐç
húom,ˈħuo̯m,,,hêm,ˈħɨːm
errèqqàccex,ɛrˈrɛɢˌɢæccɛx,,,reqatoj,ˈrɛq̚ˌqæt̚tɐç
qúqqo,ˈɢuɢɢɔ,,,uqâ,ˈʔuq̚qɑː
fàśśe,ˈfæɕɕɛ,,,fale,ˈfæɬɬɐ
årrɑ́em,ʌrˈrɑe̯m,,,gâm,ˈɣaːm
ar̥r̥ààoń,ær̥ˈr̥æˌæɔɲ,,,xekakân,ˈxɛk̚ˌkæk̚kɑːn
ñè,ˈɴɛ,,,ñe,ˈŋɛ
vóčúmu,ˈʋoˌc͡ɕumu,,,ôtlukîn,ˈwoːˌtɬuk̚kĩː
ǵèhhàññah,ˈɟɛħˌħæɴ̥ɴ̥æħ,,,ehañah,ˈʔɛħˌħæŋ̊ŋ̊æħ
årrɑ́em,ʌrˈrɑe̯m,,,gâm,ˈɣaːm
qúqqo,ˈɢuɢɢɔ,,,uqâ,ˈʔuq̚qɑː
ar̥r̥àśśaǽońǵex,ær̥ˈr̥æɕɕæˌæo̯ɲɟɛx,,,xelakântoj,ˈxɛɬɬæk̚ˌkaːndɐç
hǻr̥pə,ˈħʌr̥pɤ,,,herpô,ˈħɜr̥pɘː
húom,ˈħuo̯m,,,hêm,ˈħɨːm
ǵèhhàññah,ˈɟɛħˌħæɴ̥ɴ̥æħ,,,ehañah,ˈʔɛħˌħæŋ̊ŋ̊æħ
årrɑ́em,ʌrˈrɑe̯m,,,gâm,ˈɣaːm
qúccfíqqo,ˈɢucˌcfiɢɢɔ,,,utwiqâ,ˈʔut̚ˌtɸiq̚qɑː
ar̥r̥àśśaońǵòxəx,ær̥ˈr̥æɕɕæɔɲˌɟɔxɤx,,,xelakântojkish,ˈxɛɬɬæk̚kɑːnˌdɔçkiç
wàr̥r̥íke,ˈɣær̥ˌr̥ikɛ,,,jariche,ˈjær̥ˌr̥it̚t͡ʃɐ
qúqqo,ˈɢuɢɢɔ,,,uqâ,ˈʔuq̚qɑː
mvéare,ˈmʋeɐ̯rɛ,,,mvîgegh,ˈmvĩːɣɘː
húom,ˈħuo̯m,,,hêm,ˈħɨːm
wú,ˈɣu,,,ju,ˈju
àśśoofàʔar̥,ˈæɕɕɔɔˌfæʔær̥,,,kalââfaox,ˈkæɬɬɑːɑːˌfæʔɐx
qúqqúoźår̥,ˈɢuɢˌɢuo̯ʑʌr̥,,,uqêzox,ˈʔuq̚ˌqɨːzɐx
tfír̥r̥àccex,ˈtfir̥ˌr̥æccɛx,,,tsiratoj,ˈt͡θir̥ˌr̥æt̚tɐç
hú,ˈħu,,,hû,ˈħũː
húom,ˈħuo̯m,,,hêm,ˈħɨːm
kíexǽiźñah,ˈkie̯ˌxæɪ̯ʑɴæħ,,,chêshazñah,ˈt͡ʃiːˌçæːzŋæħ
fàśśe,ˈfæɕɕɛ,,,fale,ˈfæɬɬɐ
qò,ˈɢɔ,,,qo,ˈqɔ
wú,ˈɣu,,,ju,ˈju
ar̥r̥àśàńcar̥,ær̥ˈr̥æɕˌæɲ̊cær̥,,,xelkanox,ˈxɛɬˌkæn̥n̥ɐx
jéñwappǻr̥fə,ˈjeɴɣæpˌpʌr̥fɤ,,,êkjapoxfê,ˈjeːg̚jæp̚ˌpɔxfɘː
erríeʔ,ɛrˈrie̯ʔ,,,rêt,ˈriːd̚
mèttørreźaʔǽoñøu,ˈmɛttørrɛʑæʔˌæo̯ɴøʊ̯,,,metugêzaânchôl,ˈmɛt̚tuɣɣɘːzæʔˌaːnd͡ʒɘːl
húom,ˈħuo̯m,,,hêm,ˈħɨːm
vɑ́eoʔǻr̥fə,ˈʋɑe̯ɔʔˌʌr̥fɤ,,,vâooxfê,ˈvaːɐʔˌɔxfɘː
húom,ˈħuo̯m,,,hêm,ˈħɨːm
qúľoʔǻr̥fə,ˈɢuʎɔʔˌʌr̥fɤ,,,ûleoxfê,ˈʔũːlɐʔˌɔxfɘː
erríeʔ,ɛrˈrie̯ʔ,,,rêt,ˈriːd̚
erríix,ɛrˈriix,,,rêtkish,ˈriːd̚giç
zúomaʔəkèkøu,ˈzuo̯mæʔɤkˌɛkøʊ̯,,,zûmaichechôl,ˈzũːæʔit̚ˌt͡ʃɛt̚t͡ʃɘːl
wú,ˈɣu,,,ju,ˈju
qɑ́uwośśǻr̥fə,ˈɢɑʊ̯ɣɔɕˌɕʌr̥fɤ,,,qâlkjesoxfê,ˈqaːlgjɐsˌsɔxfɘː
ǽoxxa,ˈæo̯xxæ,,,ghuja,ˈɐʊ̯ççæ
wú,ˈɣu,,,ju,ˈju
ľíeńyńcoǻr̥fə,ˈʎie̯ɲyɲ̊cɔˌʌr̥fɤ,,,lîuntâoxfê,ˈlĩːun̥tɑːˌɔxfɘː
vàhr̥a,ˈʋæħr̥æ,,,wahra,ˈwæħr̥æ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
wú,ˈɣu,,,ju,ˈju
qúńfəqqɑ́eår̥,ˈɢuɲ̊fɤɢˌɢɑe̯ʌr̥,,,utwiqâox,ˈʔut̚ɸiq̚ˌqaːɐx
årróńə,ʌrˈroɲɤ,,,gûtji,ˈɣũːd̚ji
wú,ˈɣu,,,ju,ˈju
arrér̥ar̥r̥áńcar̥,ærˈrer̥ær̥ˌr̥aɲ̊cær̥,,,gjxexanox,ˈɣjxɛxˌxæn̥n̥ɐx
ǵàññàrrê,ˈɟæɴ̥ˌɴ̥ærre,,,añagi,ˈʔæŋ̊ˌŋ̊æːɣɣi
víffyʔikèix,ˈʋiffyʔikˌɛix,,,vifuichekish,ˈviffuʔit̚ˌt͡ʃɛk̚kiç
ǵàppicaʔǽońǵex,ˈɟæppicæʔˌæo̯ɲɟɛx,,,apîtaântoj,ˈʔæp̚piːtæʔˌaːndɐç
ľíeńúńco,ˈʎie̯ˌɲuɲ̊cɔ,,,lîuntâ,ˈlĩːˌun̥tɑː
pàmfêaʔǽońǵex,ˈpæm̥feæʔˌæo̯ɲɟɛx,,,pamwêaântoj,ˈpæm̥ɸɘːæʔˌaːndɐç
qǽiah,ˈɢæɪ̯æħ,,,âjah,ˈʔaːjæħ
ar̥r̥ár̥r̥áññah,ær̥ˈr̥ar̥ˌr̥aɴ̥ɴ̥æħ,,,xagañah,ˈxæxˌxæŋ̊ŋ̊æħ
fàśśe,ˈfæɕɕɛ,,,fale,ˈfæɬɬɐ
mènhar̥,ˈmɛn̥ħær̥,,,metfkêx,ˈmɛt̚fkɐx
fír̥r̥íemar̥,ˈfir̥ˌr̥ie̯mær̥,,,firêmex,ˈfir̥ˌr̥iːmɐx
mèttørreźàʔoń,ˈmɛttørrɛˌʑæʔɔɲ,,,metugêzaân,ˈmɛt̚tuɣɣɘːˌzæʔɑːn
qúqqoǻr̥fə,ˈɢuɢɢɔˌʌr̥fɤ,,,uqâoxfê,ˈʔuq̚qɑːˌɔxfɘː
erríex,ɛrˈriɛx,,,rikesh,ˈrik̚kɐç
húom,ˈħuo̯m,,,hêm,ˈħɨːm
ǵèxxeccyanhoǻr̥r̥å,ˈɟɛxxɛccyæn̥ħɔˌʌr̥r̥ʌ,,,eshetîvatfâoxê,ˈʔɛççɐt̚tiːvæt̚fɑːˌɔxxɘː
